Alert ID,Policy Name,Policy Type,Description,Policy Labels,Policy Severity,Resource Name,Cloud Type,Cloud Account Id,Cloud Account Name,Region,Recommendation,Alert Status,Alert Time,Event Occurred,Dismissed On,Dismissed By,Dismissal Reason,Resolved On,Resolution Reason,Resource ID
N-744536,AWS EC2 instance that is internet reachable with unrestricted access (0.0.0.0/0),network,"This policy identifies AWS EC2 instances that are internet reachable with unrestricted access (0.0.0.0/0). EC2 instances with unrestricted access to the internet may enable bad actors to use brute force on a system to gain unauthorised access to the entire network. As a best practice, restrict traffic from unknown IP addresses and limit the access to known hosts, services, or specific entities.",Prisma_Cloud,high,api-license-q,aws,751894778059,wistron-ev-charger,AWS Tokyo,"The following steps are recommended to restrict unrestricted access from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
 a) The overly permissive Security Group rules can be made more restrictive.
 b) Move the instance inside a restrictive subnet if the instance does not need to be publicly accessible.
 c) Define a NAT rule to restrict traffic coming from the Internet to the respective instance.",open,"Jun 13, 2023 08.36 CST Asia/Taipei",,,,,,,i-09e5c39399d547348
N-775666,AWS EC2 instance that is internet reachable with unrestricted access (0.0.0.0/0),network,"This policy identifies AWS EC2 instances that are internet reachable with unrestricted access (0.0.0.0/0). EC2 instances with unrestricted access to the internet may enable bad actors to use brute force on a system to gain unauthorised access to the entire network. As a best practice, restrict traffic from unknown IP addresses and limit the access to known hosts, services, or specific entities.",Prisma_Cloud,high,api-license-dev,aws,751894778059,wistron-ev-charger,AWS Tokyo,"The following steps are recommended to restrict unrestricted access from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
 a) The overly permissive Security Group rules can be made more restrictive.
 b) Move the instance inside a restrictive subnet if the instance does not need to be publicly accessible.
 c) Define a NAT rule to restrict traffic coming from the Internet to the respective instance.",open,"Jun 13, 2023 08.36 CST Asia/Taipei",,,,,,,i-03dd734ed56f3a410
P-1555146,Azure Network Security Group allows all traffic on SSH port 22,config,"This policy identifies Network security groups (NSG) that allow all traffic on SSH port 22. Review your list of NSG rules to ensure that your resources are not exposed. As a best practice, restrict SSH solely to known static IP addresses. Limit the access list to include known hosts, services, or specific employees only.",Prisma_Cloud,high,runner-dgcc6r6v-op-gitlab-runner-1686615889-fdfdb137-firewall,azure,ed7216af-e52d-4c2d-9655-6fa3451e5ac0,R360WT - ed7216af (Wistron Corp.),Azure Southeast Asia,"Before making any changes, please check the impact to your applications/services. Evaluate whether you want to edit the rule and limit access to specific users, hosts, and services only, deny access, or delete the rule completely.

1. Log in to the Azure Portal.
2. Select 'All services'.
3. Select 'Network security groups', under NETWORKING.
4. Select the Network security group you need to modify.
5. Select 'Inbound security rules' under Settings.
6. Select the rule you need to modify, and edit it to allow specific IP addresses OR set the 'Action' to 'Deny' OR 'Delete' the rule based on your requirement.
7. 'Save' your changes.",open,"Jun 13, 2023 08.28 CST Asia/Taipei",,,,,,,/subscriptions/ed7216af-e52d-4c2d-9655-6fa3451e5ac0/resourceGroups/op-git-runner/providers/Microsoft.Network/networkSecurityGroups/runner-dgcc6r6v-op-gitlab-runner-1686615889-fdfdb137-firewall
P-1555144,Azure Network Security Group allows all traffic on SSH port 22,config,"This policy identifies Network security groups (NSG) that allow all traffic on SSH port 22. Review your list of NSG rules to ensure that your resources are not exposed. As a best practice, restrict SSH solely to known static IP addresses. Limit the access list to include known hosts, services, or specific employees only.",Prisma_Cloud,high,runner-dgcc6r6v-op-gitlab-runner-1686615580-e706cac3-firewall,azure,ed7216af-e52d-4c2d-9655-6fa3451e5ac0,R360WT - ed7216af (Wistron Corp.),Azure Southeast Asia,"Before making any changes, please check the impact to your applications/services. Evaluate whether you want to edit the rule and limit access to specific users, hosts, and services only, deny access, or delete the rule completely.

1. Log in to the Azure Portal.
2. Select 'All services'.
3. Select 'Network security groups', under NETWORKING.
4. Select the Network security group you need to modify.
5. Select 'Inbound security rules' under Settings.
6. Select the rule you need to modify, and edit it to allow specific IP addresses OR set the 'Action' to 'Deny' OR 'Delete' the rule based on your requirement.
7. 'Save' your changes.",open,"Jun 13, 2023 08.28 CST Asia/Taipei",,,,,,,/subscriptions/ed7216af-e52d-4c2d-9655-6fa3451e5ac0/resourceGroups/op-git-runner/providers/Microsoft.Network/networkSecurityGroups/runner-dgcc6r6v-op-gitlab-runner-1686615580-e706cac3-firewall
N-242732,Azure Virtual Machine in running state that is internet reachable with unrestricted access (0.0.0.0/0),network,"This policy identifies Azure Virtual Machines in running state that are internet reachable with unrestricted access (0.0.0.0/0). Virtual Machines with unrestricted access to the internet may enable bad actors to use brute force on a system to gain unauthorised access to the entire network. As a best practice, restrict traffic from unknown IP addresses and limit the access to known hosts, services, or specific entities.",Prisma_Cloud,high,ota-dev-01,azure,a187b4e6-5a61-49c1-aa6f-1a8a567632c6,SI2_2S0000 - a187b4e6 (Wistron Corp.),Azure Japan East,"The following steps are recommended to restrict unrestricted access from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
	a) The overly permissive Network Security Group rules can be made more restrictive.
	b) Move the instance inside a restrictive subnet if the instance does not need to be publicly accessible.
	c) Remove or disassociate the public IP assigned to the respective instance.",open,"Jun 13, 2023 08.16 CST Asia/Taipei",,,,,,,9e72f088-f09b-43be-9008-60efe037e833-/subscriptions/a187b4e6-5a61-49c1-aa6f-1a8a567632c6/resourceGroups/wicentral_ota/providers/Microsoft.Compute/virtualMachines/ota-dev-01
N-242731,Azure Virtual Machine in running state that is internet reachable with unrestricted access (0.0.0.0/0),network,"This policy identifies Azure Virtual Machines in running state that are internet reachable with unrestricted access (0.0.0.0/0). Virtual Machines with unrestricted access to the internet may enable bad actors to use brute force on a system to gain unauthorised access to the entire network. As a best practice, restrict traffic from unknown IP addresses and limit the access to known hosts, services, or specific entities.",Prisma_Cloud,high,ota-dev-02,azure,a187b4e6-5a61-49c1-aa6f-1a8a567632c6,SI2_2S0000 - a187b4e6 (Wistron Corp.),Azure Japan East,"The following steps are recommended to restrict unrestricted access from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
	a) The overly permissive Network Security Group rules can be made more restrictive.
	b) Move the instance inside a restrictive subnet if the instance does not need to be publicly accessible.
	c) Remove or disassociate the public IP assigned to the respective instance.",open,"Jun 13, 2023 08.16 CST Asia/Taipei",,,,,,,d403e271-5c9e-4980-840a-a4cf897bd2d0-/subscriptions/a187b4e6-5a61-49c1-aa6f-1a8a567632c6/resourceGroups/wicentral_ota/providers/Microsoft.Compute/virtualMachines/ota-dev-02
I-1552518,AWS EC2 instance with IAM write access level,iam,This policy identifies IAM write permissions that are defined as risky permissions. Ensure that the AWS EC2 instances provisioned in your AWS account don't have a risky set of write permissions to minimize security risks.,Prisma_Cloud,high,i-01af120a0166dd977,aws,362710435132,Wistron-PD-WiWall,AWS Virginia,"Remediation steps:
1. Log in to the AWS console
2. Navigate to the EC2 instance 
3. Find the role used by the EC2 instance
4. Navigate to the IAM service
5. Click on Roles
6. Choose the relevant role
7. Under ''Permissions policies'', find the relevant policy according to the alert details and remove the risky actions",open,"Jun 12, 2023 16.52 CST Asia/Taipei",,,,,,,i-01af120a0166dd977
P-1551928,Azure Key Vault audit logging is disabled,config,"This policy identifies Azure Key Vault instances for which audit logging is disabled. As a best practice, enable audit event logging for Key Vault instances to monitor how and when your key vaults are accessed, and by whom.",,high,smartrepair-prd-key,azure,707fcb1f-32c6-40b9-bd10-0fe027d565ab,S360_Azure - 707fcb1f (Wistron Corp.),Azure Southeast Asia,"1. Log in to Azure portal
2. Select 'Key vaults'
3. Select the key vault instance to modify
4. Select 'Diagnostic settings' under 'Monitoring'
5. Click on '+Add diagnostic setting'
6. Specify a 'Diagnostic settings name',
7. Under 'Category details' section, Under Log, select 'AuditEvent'
8. Under section 'Destination details',
a. If you select 'Send to Log Analytics workspace', set the 'Subscription' and 'Log Analytics workspace'
b. If you select 'Archive to storage account', set the 'Subscription', 'Storage account' and 'Retention (days)'
c. If you select 'Stream to an event hub', set the 'Subscription', 'Event hub namespace', 'Event hub name' and 'Event hub policy name'
d. If you select 'Send to partner solution', set the 'Subscription' and 'Destination'
9. Click on 'Save'",open,"Jun 12, 2023 14.51 CST Asia/Taipei",,,,,,,/subscriptions/707fcb1f-32c6-40b9-bd10-0fe027d565ab/resourceGroups/S360_SMARTREPAIR_PRD_RG/providers/Microsoft.KeyVault/vaults/smartrepair-prd-key
N-108308,Azure Virtual Machine in running state that is internet reachable with unrestricted access (0.0.0.0/0),network,"This policy identifies Azure Virtual Machines in running state that are internet reachable with unrestricted access (0.0.0.0/0). Virtual Machines with unrestricted access to the internet may enable bad actors to use brute force on a system to gain unauthorised access to the entire network. As a best practice, restrict traffic from unknown IP addresses and limit the access to known hosts, services, or specific entities.",Prisma_Cloud,high,hrnlp,azure,185eedc7-5b46-4c47-9d27-2a9d22da80e8,WSD-SSOT - 185eedc7 (Wistron Corp.),Azure Southeast Asia,"The following steps are recommended to restrict unrestricted access from the Internet:
1. Visit the Network path Analysis from Source to Destination and review the network path components that allow internet access.
2. Identify the network component on which restrictive rules can be implemented.
3. Implement the required changes and make sure no other resources have been impacted due to these changes:
	a) The overly permissive Network Security Group rules can be made more restrictive.
	b) Move the instance inside a restrictive subnet if the instance does not need to be publicly accessible.
	c) Remove or disassociate the public IP assigned to the respective instance.",open,"Jun 12, 2023 14.16 CST Asia/Taipei",,,,,,,a438a9c0-92a2-4937-8520-3bc00f619f74-/subscriptions/185eedc7-5b46-4c47-9d27-2a9d22da80e8/resourceGroups/wsd-hrnlp-dev/providers/Microsoft.Compute/virtualMachines/hrnlp
P-1551662,Azure Network Security Group allows all traffic on SSH port 22,config,"This policy identifies Network security groups (NSG) that allow all traffic on SSH port 22. Review your list of NSG rules to ensure that your resources are not exposed. As a best practice, restrict SSH solely to known static IP addresses. Limit the access list to include known hosts, services, or specific employees only.",Prisma_Cloud,high,skynet-dev-nsg,azure,a3a07cdf-d288-4ef3-ad5d-2a3fcc94fd0e,VD0_FW - a3a07cdf (Wistron Corp.),Azure Southeast Asia,"Before making any changes, please check the impact to your applications/services. Evaluate whether you want to edit the rule and limit access to specific users, hosts, and services only, deny access, or delete the rule completely.

1. Log in to the Azure Portal.
2. Select 'All services'.
3. Select 'Network security groups', under NETWORKING.
4. Select the Network security group you need to modify.
5. Select 'Inbound security rules' under Settings.
6. Select the rule you need to modify, and edit it to allow specific IP addresses OR set the 'Action' to 'Deny' OR 'Delete' the rule based on your requirement.
7. 'Save' your changes.",open,"Jun 12, 2023 14.01 CST Asia/Taipei",,,,,,,/subscriptions/a3a07cdf-d288-4ef3-ad5d-2a3fcc94fd0e/resourceGroups/VD0_SKYNET_DEV/providers/Microsoft.Network/networkSecurityGroups/skynet-dev-nsg
